timestamp,id,element,info
1698090507506,mouseMoved,mouse,-
1698090507513,mouseMoved,mouse,-
1698090507521,mouseMoved,mouse,-
1698090507529,mouseMoved,mouse,-
1698090507536,mouseMoved,mouse,-
1698090507544,mouseMoved,mouse,-
1698090507552,mouseMoved,mouse,-
1698090507558,mouseMoved,mouse,-
1698090507597,mouseMoved,mouse,-
1698090507613,mouseMoved,mouse,-
1698090507649,mouseMoved,mouse,-
1698090507656,mouseMoved,mouse,-
1698090507664,mouseMoved,mouse,-
1698090507671,mouseMoved,mouse,-
1698090507679,mouseMoved,mouse,-
1698090507764,mousePressed,mouse,-
1698090507837,mouseReleased,mouse,-
1698090510066,RunClass,action,-
1698090510089,mouseMoved,mouse,-
1698090510403,mouseMoved,mouse,-
1698090510411,mouseMoved,mouse,-
1698090510418,mouseMoved,mouse,-
1698090510425,mouseMoved,mouse,-
1698090510440,mouseMoved,mouse,-
1698090510448,mouseMoved,mouse,-
1698090510455,mouseMoved,mouse,-
1698090510463,mouseMoved,mouse,-
1698090510470,mouseMoved,mouse,-
1698090510485,mouseMoved,mouse,-
1698090510492,mouseMoved,mouse,-
1698090510507,mouseMoved,mouse,-
1698090510515,mouseMoved,mouse,-
1698090510522,mouseMoved,mouse,-
1698090510531,mouseMoved,mouse,-
1698090510537,mouseMoved,mouse,-
1698090510545,mouseMoved,mouse,-
1698090510560,mouseMoved,mouse,-
1698090510567,mouseMoved,mouse,-
1698090510575,mouseMoved,mouse,-
1698090510582,mouseMoved,mouse,-
1698090510589,mouseMoved,mouse,-
1698090510597,mouseMoved,mouse,-
1698090510613,mouseMoved,mouse,-
1698090510630,mouseMoved,mouse,-
1698090510635,mouseMoved,mouse,-
1698090510642,mouseMoved,mouse,-
1698090510649,mouseMoved,mouse,-
1698090510657,mouseMoved,mouse,-
1698090510666,mouseMoved,mouse,-
1698090510672,mouseMoved,mouse,-
1698090510680,mouseMoved,mouse,-
1698090510686,mouseMoved,mouse,-
1698090510695,mouseMoved,mouse,-
1698090510702,mouseMoved,mouse,-
1698090510710,mouseMoved,mouse,-
1698090510716,mouseMoved,mouse,-
1698090510960,mouseMoved,mouse,-
1698090510964,mouseMoved,mouse,-
1698090510972,mouseMoved,mouse,-
1698090510979,mouseMoved,mouse,-
1698090510987,mouseMoved,mouse,-
1698090510995,mouseMoved,mouse,-
1698090511002,mouseMoved,mouse,-
1698090511010,mouseMoved,mouse,-
1698090511017,mouseMoved,mouse,-
1698090511025,mouseMoved,mouse,-
1698090511032,mouseMoved,mouse,-
1698090511040,mouseMoved,mouse,-
1698090511047,mouseMoved,mouse,-
1698090511054,mouseMoved,mouse,-
1698090511062,mouseMoved,mouse,-
1698090511070,mouseMoved,mouse,-
1698090511092,mouseMoved,mouse,-
1698090511100,mouseMoved,mouse,-
1698090511107,mouseMoved,mouse,-
1698090511121,mouseMoved,mouse,-
1698090511130,mouseMoved,mouse,-
1698090511136,mouseMoved,mouse,-
1698090511145,mouseMoved,mouse,-
1698090511160,mouseMoved,mouse,-
1698090511167,mouseMoved,mouse,-
1698090511176,mouseMoved,mouse,-
1698090511181,mouseMoved,mouse,-
1698090511191,mouseMoved,mouse,-
1698090511197,mouseMoved,mouse,-
1698090511207,mouseMoved,mouse,-
1698090511212,mouseMoved,mouse,-
1698090511219,mouseMoved,mouse,-
1698090511227,mouseMoved,mouse,-
1698090511234,mouseMoved,mouse,-
1698090511242,mouseMoved,mouse,-
1698090511249,mouseMoved,mouse,-
1698090511257,mouseMoved,mouse,-
1698090511268,mouseMoved,mouse,-
1698090511272,mouseMoved,mouse,-
1698090511280,mouseMoved,mouse,-
1698090511287,mouseMoved,mouse,-
1698090511295,mouseMoved,mouse,-
1698090511302,mouseMoved,mouse,-
1698090511310,mouseMoved,mouse,-
1698090511316,mouseMoved,mouse,-
1698090511324,mouseMoved,mouse,-
1698090511331,mouseMoved,mouse,-
1698090511339,mouseMoved,mouse,-
1698090511347,mouseMoved,mouse,-
1698090511354,mouseMoved,mouse,-
1698090511362,mouseMoved,mouse,-
1698090511369,mouseMoved,mouse,-
1698090511385,mouseMoved,mouse,-
1698090511391,mouseMoved,mouse,-
1698090511398,mouseMoved,mouse,-
1698090511407,mouseMoved,mouse,-
1698090511418,mouseMoved,mouse,-
1698090511422,mouseMoved,mouse,-
1698090511437,mouseMoved,mouse,-
1698090511483,mouseMoved,mouse,-
1698090511490,mouseMoved,mouse,-
1698090511496,mouseMoved,mouse,-
1698090511504,mouseMoved,mouse,-
1698090511511,mouseMoved,mouse,-
1698090511518,mouseMoved,mouse,-
1698090511526,mouseMoved,mouse,-
1698090511534,mouseMoved,mouse,-
1698090511542,mouseMoved,mouse,-
1698090511549,mouseMoved,mouse,-
1698090511558,mouseMoved,mouse,-
1698090511564,mouseMoved,mouse,-
1698090511571,mouseMoved,mouse,-
1698090511579,mouseMoved,mouse,-
1698090511586,mouseMoved,mouse,-
1698090511593,mouseMoved,mouse,-
1698090511601,mouseMoved,mouse,-
1698090511609,mouseMoved,mouse,-
1698090511616,mouseMoved,mouse,-
1698090511626,mouseMoved,mouse,-
1698090511631,mouseMoved,mouse,-
1698090511639,mouseMoved,mouse,-
1698090511646,mouseMoved,mouse,-
1698090511670,mouseMoved,mouse,-
1698090511676,mouseMoved,mouse,-
1698090511684,mouseMoved,mouse,-
1698090511692,mouseMoved,mouse,-
1698090511699,mouseMoved,mouse,-
1698090511706,mouseMoved,mouse,-
1698090511714,mouseMoved,mouse,-
1698090511721,mouseMoved,mouse,-
1698090511728,mouseMoved,mouse,-
1698090511737,mouseMoved,mouse,-
1698090511744,mouseMoved,mouse,-
1698090511759,mouseMoved,mouse,-
1698090511767,mouseMoved,mouse,-
1698090511789,mouseMoved,mouse,-
1698090511812,mouseMoved,mouse,-
1698090511848,mouseMoved,mouse,-
1698090511873,mouseMoved,mouse,-
1698090511875,mouseMoved,mouse,-
1698090511920,mouseMoved,mouse,-
1698090512105,mouseMoved,mouse,-
1698090512196,mousePressed,mouse,-
1698090512301,GotoDeclaration,action,-
1698090512312,mouseReleased,mouse,-
1698090512734,mouseMoved,mouse,-
1698090512743,mouseMoved,mouse,-
1698090512750,mouseMoved,mouse,-
1698090512764,mouseMoved,mouse,-
1698090512766,mouseMoved,mouse,-
1698090512773,mouseMoved,mouse,-
1698090512779,mouseMoved,mouse,-
1698090512788,mouseMoved,mouse,-
1698090512794,mouseMoved,mouse,-
1698090512803,mouseMoved,mouse,-
1698090512810,mouseMoved,mouse,-
1698090512817,mouseMoved,mouse,-
1698090512826,mouseMoved,mouse,-
1698090512832,mouseMoved,mouse,-
1698090512839,mouseMoved,mouse,-
1698090512847,mouseMoved,mouse,-
1698090512855,mouseMoved,mouse,-
1698090512862,mouseMoved,mouse,-
1698090512870,mouseMoved,mouse,-
1698090512877,mouseMoved,mouse,-
1698090512884,mouseMoved,mouse,-
1698090512892,mouseMoved,mouse,-
1698090512901,mouseMoved,mouse,-
1698090512919,mouseMoved,mouse,-
1698090512930,mouseMoved,mouse,-
1698090512937,mouseMoved,mouse,-
1698090512945,mouseMoved,mouse,-
1698090512952,mouseMoved,mouse,-
1698090512961,mouseMoved,mouse,-
1698090512968,mouseMoved,mouse,-
1698090512975,mouseMoved,mouse,-
1698090512982,mouseMoved,mouse,-
1698090512989,mouseMoved,mouse,-
1698090512997,mouseMoved,mouse,-
1698090513005,mouseMoved,mouse,-
1698090513011,mouseMoved,mouse,-
1698090513020,mouseMoved,mouse,-
1698090513027,mouseMoved,mouse,-
1698090513036,mouseMoved,mouse,-
1698090513043,mouseMoved,mouse,-
1698090513050,mouseMoved,mouse,-
1698090513057,mouseMoved,mouse,-
1698090513064,mouseMoved,mouse,-
1698090513072,mouseMoved,mouse,-
1698090513079,mouseMoved,mouse,-
1698090513087,mouseMoved,mouse,-
1698090513110,mouseMoved,mouse,-
1698090513462,mouseMoved,mouse,-
1698090513487,mouseMoved,mouse,-
1698090513889,mouseMoved,mouse,-
1698090513896,mouseMoved,mouse,-
1698090513904,mouseMoved,mouse,-
1698090513912,mouseMoved,mouse,-
1698090513919,mouseMoved,mouse,-
1698090513926,mouseMoved,mouse,-
1698090513935,mouseMoved,mouse,-
1698090513941,mouseMoved,mouse,-
1698090513949,mouseMoved,mouse,-
1698090513957,mouseMoved,mouse,-
1698090513965,mouseMoved,mouse,-
1698090513971,mouseMoved,mouse,-
1698090513980,mouseMoved,mouse,-
1698090513996,mouseMoved,mouse,-
1698090514017,mouseMoved,mouse,-
1698090514377,mouseMoved,mouse,-
1698090514384,mouseMoved,mouse,-
1698090514391,mouseMoved,mouse,-
1698090514398,mouseMoved,mouse,-
1698090514406,mouseMoved,mouse,-
1698090514414,mouseMoved,mouse,-
1698090514422,mouseMoved,mouse,-
1698090514429,mouseMoved,mouse,-
1698090514436,mouseMoved,mouse,-
1698090514444,mouseMoved,mouse,-
1698090514451,mouseMoved,mouse,-
1698090514459,mouseMoved,mouse,-
1698090514467,mouseMoved,mouse,-
1698090514474,mouseMoved,mouse,-
1698090514481,mouseMoved,mouse,-
1698090514489,mouseMoved,mouse,-
1698090514496,mouseMoved,mouse,-
1698090514504,mouseMoved,mouse,-
1698090514512,mouseMoved,mouse,-
1698090514519,mouseMoved,mouse,-
1698090514527,mouseMoved,mouse,-
1698090514534,mouseMoved,mouse,-
1698090514549,mouseMoved,mouse,-
1698090514617,mouseMoved,mouse,-
1698090514624,mouseMoved,mouse,-
1698090514631,mouseMoved,mouse,-
1698090514639,mouseMoved,mouse,-
1698090514646,mouseMoved,mouse,-
1698090514654,mouseMoved,mouse,-
1698090514662,mouseMoved,mouse,-
1698090514669,mouseMoved,mouse,-
1698090514684,mouseMoved,mouse,-
1698090514691,mouseMoved,mouse,-
1698090514699,mouseMoved,mouse,-
1698090514706,mouseMoved,mouse,-
1698090514722,mouseMoved,mouse,-
1698090514730,mouseMoved,mouse,-
1698090514736,mouseMoved,mouse,-
1698090514745,mouseMoved,mouse,-
1698090514751,mouseMoved,mouse,-
1698090514761,mouseMoved,mouse,-
1698090514766,mouseMoved,mouse,-
1698090514774,mouseMoved,mouse,-
1698090514781,mouseMoved,mouse,-
1698090514788,mouseMoved,mouse,-
